新燃岳|4月5日、鹿児島県と宮崎県の境にある霧島連山の??が爆発的噴火を起こした
島根県|4月9日、??西部で最大震度5強の地震が発生しました。マグニチュードは6.1
シリア|米英仏が攻撃したところ。化学兵器。
エルサレム|アメリカがイスラエルにある大使館を??に移転
日中韓首脳会談|日本と中国と勧告の参加国による?/が翌二年半ぶりに開かれ、北朝鮮の完全な非核化に向けて連携していくことで一致しました。
国民民主党|5月7日、民進党と希望の党が合流した新党??
インサイト|NASAが打ち上げた火星探査機
潜伏キリシタン関連遺産|世界遺産に登録するよう勧告されたもの
南北首脳会談|平和の家で勧告と北朝鮮が首脳会談を行った
硫黄山|霧島連山の??が噴火宮崎、鹿児島県境にある霧島連山の??が噴火した
日米首脳会談|4月18日・19日、日本の安倍晋三総理大アメリカ合衆国を訪問
国民民主党|民進党と希望の党
キラウエア|ハワイにある火山??が爆発的な噴火を起こしました
イラン|アメリカが??における核兵器の削減=書く合意をやめることを発表しました。
エウロパ|木星の衛星である??に姓名が存在するのに必要な水がある可能性が高いと観測結果からわかりました
イタリア|三ヶ月間、首相がいない期間があった??で新しくコンテ首相が就任しました
鶴竜|大相撲の5月場所は??が優勝しました。また、今場所の結果で大関に昇進したのは栃ノ心
フエゴ|中米、グアテマラの??山が噴火して、大きな被害がでた
シンガポール|１２日、??で開催予定のアメリカトランプ大統領と、北朝鮮金正恩委員長の会談が行われる
G7|8日に先進七カ国通称??の首脳会議サミットがカナダのシャルルボワで開催されます
48|8*6
