mboo|竹
fact|事実
basket|かご、はこ
paper|紙
mat|しきもの
wood|木材
steel|鋼鉄
case|場合
Costa Rica|コスタリカ
area|地域
fell|<fall
damage|ダメージ
however|しかしながら
cheap|安い
low|低い、安い
growth|成長
fall down|崩れ落ちる
at low cost|やすい費用で
cat ~ down|を切り倒す
on the other hand|他方では、一方では
actually|本東亜h
weakness|弱点、欠点
burn|燃える
fire|火
quickly|急いで
insect|昆虫
white ant|シロアリ
beetle|カブトムシ
protect|守る
liquid|液体
catch fire|火がつく
get out|逃げる
protect ~ from ...|~を...から守る
put ~ into ...|...を~の中に入れる
Zambia|ザンビア
bycycle|自転車
frame|骨組み
light|軽い
quality|品質
export|輸出
in quality|質的に
come up with ~|~を考えだす
